cell	seurat_clusters	celltype
c0	11	Oligo
c1	5	Astro
c2	5	Astro
c3	6	eL4
c4	10	eL2/3
c5	11	Oligo
c6	11	Oligo
c7	11	Oligo
c8	2	eL6
c9	6	eL4
c10	1	Endo
c11	1	Endo
c12	9	eL2/3
c13	11	Oligo
c14	2	eL6
c15	4	eL5
c16	2	eL6
c17	11	Oligo
c18	1	Endo
c19	9	eL2/3
c20	4	eL5
c21	4	eL5
c22	12	Micro
c23	6	eL4
c24	7	eL4
c25	7	eL4
c26	9	eL2/3
c27	4	eL5
c28	2	eL6
c29	1	Endo
c30	3	Oligo
c31	1	Endo
c32	5	Astro
c33	2	eL6
c34	6	eL4
c35	7	eL4
c36	2	eL6
c37	6	eL4
c38	5	Astro
c39	9	eL2/3
c40	1	Endo
c41	7	eL4
c42	4	eL5
c43	7	eL4
c44	12	Micro
c45	1	Endo
c46	7	eL4
c47	5	Astro
c48	4	eL5
c49	4	eL5
c50	3	Oligo
c51	2	eL6
c52	4	eL5
c53	4	eL5
c54	3	Oligo
c55	3	Oligo
c56	9	eL2/3
c57	1	Endo
c58	11	Oligo
c59	6	eL4
c60	12	Micro
c61	9	eL2/3
c62	1	Endo
c63	9	eL2/3
c64	2	eL6
c65	1	Endo
c66	7	eL4
c67	5	Astro
c68	3	Oligo
c69	2	eL6
c70	6	eL4
c71	3	Oligo
c72	7	eL4
c73	11	Oligo
c74	1	Endo
c75	7	eL4
c76	6	eL4
c77	9	eL2/3
c78	2	eL6
c79	5	Astro
c80	9	eL2/3
c81	12	Micro
c82	3	Oligo
c83	3	Oligo
c84	4	eL5
c85	3	Oligo
c86	4	eL5
c87	9	eL2/3
c88	3	Oligo
c89	8sub3	VIP
c90	12	Micro
c91	3	Oligo
c92	6	eL4
c93	6	eL4
c94	2	eL6
c95	6	eL4
c96	2	eL6
c97	5	Astro
c98	12	Micro
c99	6	eL4
c100	2	eL6
c101	1	Endo
c102	9	eL2/3
c103	5	Astro
c104	9	eL2/3
c105	6	eL4
c106	7	eL4
c107	3	Oligo
c108	1	Endo
c109	4	eL5
c110	4	eL5
c111	1	Endo
c112	2	eL6
c113	8sub1	PVALB
c114	7	eL4
c115	3	Oligo
c116	6	eL4
c117	4	eL5
c118	7	eL4
c119	11	Oligo
c120	2	eL6
c121	3	Oligo
c122	8sub2	SST
c123	8sub2	SST
c124	4	eL5
c125	7	eL4
c126	6	eL4
c127	1	Endo
c128	6	eL4
c129	5	Astro
c130	8sub2	SST
c131	3	Oligo
c132	11	Oligo
c133	5	Astro
c134	12	Micro
c135	4	eL5
c136	3	Oligo
c137	4	eL5
c138	7	eL4
c139	4	eL5
c140	3	Oligo
c141	4	eL5
c142	1	Endo
c143	8sub2	SST
c144	7	eL4
c145	9	eL2/3
c146	3	Oligo
c147	1	Endo
c148	10	eL2/3
c149	11	Oligo
c150	5	Astro
c151	2	eL6
c152	10	eL2/3
c153	7	eL4
c154	2	eL6
c155	7	eL4
c156	4	eL5
c157	1	Endo
c158	3	Oligo
c159	4	eL5
c160	3	Oligo
c161	2	eL6
c162	3	Oligo
c163	12	Micro
c164	1	Endo
c165	1	Endo
c166	8sub2	SST
c167	2	eL6
c168	12	Micro
c169	8sub2	SST
c170	7	eL4
c171	1	Endo
c172	7	eL4
c173	5	Astro
c174	1	Endo
c175	1	Endo
c176	4	eL5
c177	12	Micro
c178	3	Oligo
c179	4	eL5
c180	5	Astro
c181	4	eL5
c182	7	eL4
c183	9	eL2/3
c184	4	eL5
c185	6	eL4
c186	1	Endo
c187	4	eL5
c188	1	Endo
c189	1	Endo
c190	9	eL2/3
c191	4	eL5
c192	6	eL4
c193	8sub6	PVALB
c194	8sub5	NPY
c195	5	Astro
c196	5	Astro
c197	2	eL6
c198	1	Endo
c199	5	Astro
c200	1	Endo
c201	11	Oligo
c202	3	Oligo
c203	4	eL5
c204	4	eL5
c205	8sub1	PVALB
c206	1	Endo
c207	1	Endo
c208	1	Endo
c209	7	eL4
c210	2	eL6
c211	1	Endo
c212	5	Astro
c213	1	Endo
c214	7	eL4
c215	1	Endo
c216	9	eL2/3
c217	2	eL6
c218	1	Endo
c219	6	eL4
c220	2	eL6
c221	9	eL2/3
c222	9	eL2/3
c223	2	eL6
c224	1	Endo
c225	4	eL5
c226	2	eL6
c227	7	eL4
c228	5	Astro
c229	2	eL6
c230	1	Endo
c231	1	Endo
c232	2	eL6
c233	5	Astro
c234	4	eL5
c235	8sub2	SST
c236	8sub1	PVALB
c237	9	eL2/3
c238	5	Astro
c239	5	Astro
c240	1	Endo
c241	9	eL2/3
c242	1	Endo
c243	9	eL2/3
c244	12	Micro
c245	11	Oligo
c246	1	Endo
c247	1	Endo
c248	1	Endo
c249	1	Endo
c250	11	Oligo
c251	4	eL5
c252	9	eL2/3
c253	3	Oligo
c254	4	eL5
c255	7	eL4
c256	7	eL4
c257	5	Astro
c258	1	Endo
c259	11	Oligo
c260	1	Endo
c261	4	eL5
c262	2	eL6
c263	1	Endo
c264	3	Oligo
c265	4	eL5
c266	3	Oligo
c267	11	Oligo
c268	2	eL6
c269	5	Astro
c270	2	eL6
c271	10	eL2/3
c272	1	Endo
c273	2	eL6
c274	11	Oligo
c275	1	Endo
c276	11	Oligo
c277	8sub3	VIP
c278	1	Endo
